interpreter scholar;artist
pareja parka;pare
ergo accordingly;consequently
exactness faithfulness;exactitude
mythification modification;mollification
grutter grottier;gutter
aspercy asperser;asperous
overshadow outweigh;dim
affability geniality;agreeability
mick's macks;mcs
yutz yurts;ditz
pojar polar;poke
goat buck;kid
jakob job;jake
trowing rowing;crowing
libidinous carnal;coarse
'a' 4x4;13s
flexibility resilience;flexibleness
kampala ample;amply
riddick ridding;dick
commissioner administrator;magistrate
minions slave;stooge
themisinformation 
caustically acerbically;acrimoniously
henriksen 
sickingly sicking;sickling
lapsing elapse;go by
commandeering confiscate;hijack
fizzled misfire;wane
virual visual;virile
withers dry;perish
magazine's magazine;pamphlet
vipers rattle;snake
castulo castle;coastal
socomm scam;scum
bamford's bombards;comforts
permeating suffuse;seep
nausica nautic;basic
judged try;draw
harker's harkens;barkers
staidly calmly;composedly
coffy coffer;jiffy
mastectomy most cottony;most comedy
hacksâbrennon has bearing on;involve
4m bm;gm
debiliate debility;debate
conclution convolution;conclusions
prompted urge;draw
miscarriages abortion;mishap
flunky gofer;lackey
eateries bistro;saloon
trainman stoker;cinder monkey
proceed's precedes;proceed
juliet passion;lover
sorpresas suppresses;surprisals
bergammi bigamy;be came
camorra camper;camer
woodward's good words;wordhoards
randi rani;rant
irrfan orphan;ireful
dent incision;indentation
suares shares;sautes
armas amass;amss
blatently belatedly;blandly
interesse intercessor;internees
bernadine branding;beading
trader merchant;trafficker
rigueur rogue;rager
change' changer;changed
sergey sedgy;surge
acadamyhad according what;whereby
skeleton frame;scaffolding
blew rush;stream
d'ingéniosité dinginesses;dungiest
`wonderland wonderlands;nirvana
mendicino mendicity;mendaciou
inspid in sipid;in-sipid
john' johnny;join
coerce bully;intimidate
contention argument;controversy
hardline militant;staunch
flitted hover;flicker
alienígenas alikeness;anginas
store's stories;stress
hardnut handout;hardest
student's student;stunts
'es 1s;oes
conrad's contras;congrats
unciousness anxiousness;enviousness
moodpiece headpiece;said piece
infantiilism infantilisms;ignorance
vrckavi recurve;verruca
spite malice;resentment
shack shed;shelter
keepthe keep;kept
52 13;25
hopscotches trek;traipse
sheedy's seeds;sheers
screeners scriveners;screamers
shigeko shriek;shrieky
lait alit;lit
puppy's pups;puppy
chloe's chillies;chills
charas charms;charts
gargle irrigate;swish
ezsterhas' asystoles;estate house
sandell's s and ls;s. and l.s
kisses peck;smooch
standstill stalemate;deadlock
includevampire 
actualities substance;actualization
blossomed bloom;unfold
mops sponge;swab
schoenaerts seconders;scants
will' willow;wall
`jerk' jerky;geek
miryang more sung;more nogo
'como comb;come
hadzihalilovic 
overbloated over loaded;over-loaded
zbignew signer;begone
mooseport motor sport;mis report
yeop yelp;yip
ceramics wares;china
intellectualized justify;resolve
dieterle's deterges;dateless
darkwing drawing;darken
o'gill ogle;agile
disgrace ignominy;humiliation
enfiar un fair;un-fair
bloodhounds sleuth;reporter
pecker snout;muzzle
thrashed pummel;overwhelm
yoi yon;yip
mysportscomplex 
logs chunk;wood
allamerican 
mischa machs;mochas
siberling sobering;sabering
kabbalah cabala;kabalas
teatral tea tray;tea-tray
merkuryev carryover;migrative
lightflash had a flash;like flash
tottenham down home;toot own horn
famkhee make hay;fumigator
smokeless smokers;make less
filmographers 
vento cento;vendor
malcomson 
brisseau bruise;brassie
folksongs folk song;folk
polyana plying;playon
slyvester slumest;slaves
'seventies' servants;events
frau dame;madame
soske's spokes;sisses
blundering bumble;bungle
collie collide;cole
woollard bollard;collard
'if' i.q.;kif
laia lamia;lair
theatreâ theatres;theaters
ensaiando unsaid;unsound
proxy's proxy;praxis
homicidally homicide;germicidal
cameos gold;glass
jerkily haphazardly;fitfully
societal social;amusing
firework illuminations;firecrackers
firearms musket;weapon
hickcock haycock;shock jock
asynchronous nonsynchronous;allochronic
pmrc prek;prig
just equitable;aloof
securing procuring;winning
bonehead fool;clod
bijomaru bigotry;bookman
burn ignite;incinerate
sanborn inborn;unborn
plumage group;shock
ultracampy 
amfisbitisimo 
koike kook;kooky
broughton wrought on;brought down
lune curve;bow
crispers crimpers;crispier
dbz baz;biz
feuerzeig's fusees;squeeze
amenazante am incarnate;am in want
marionette dummy;moppet
conspiracy plot;sedition
rotted perish;decay
matijevic mortgagee;made a crack
reverberate echo;resound
taylan taling;talion
â¨farenheit affront;efferent
azul asl;soul
crichton's crochets;cruciations
feifel fife;defile
fixture device;equipment
hokie hookier;hike
dyotreis dietaries;tutoress
darin's dartings;daring
danzel dandle;dangle
beyond''the beyonds;be yond
barberino barbarian;barring
sneeze sternutation;gesundheit
gillion jillion;cullion
personificações 
obeisances salaam;fealty
200l .25s;104s
neater precise;accurate
'camp' campo;campy
dainty cute;tasteful
finalists annalists;final says
'bertram's' be-trays;bear arms
''while'' whale a;whole
outand out hand;outlaid
goombahs combos;gumbos
wars warfare;combat
bolsa balsa;boles
monarch queen;king
seriouness sorriness;serious
klicking clocking;licking
homers coup;success
iâ´d ad;id
tps TP;toilet roll
frantics fanatics;franticly
decapititated 
grammy grammar;grama
whattim whim;what up
nurse assistant;attendant
doucmentry document;documented
harltey harlotry;harlot
ricochetting bounce back;deflect
protege apprentice;charge
hobbesian hibernation;abortion
brunch taste;snack
putney's jitneys;partners
bearded shaggy;bristly
noted renowned;notable
'above aboves;abode
springy bouncy;malleable
unwooden un woven;un-woven
adornments embellishment;ornamentation
jafri's capris;fros
hexes jinx;whammy
wesendock wisent;wisents
loti lot;lots
urrf rf;ruff
unmitigated sheer;unqualified
camaro cameo;canary
socially philosophically;politically
subversion sabotage;disruption
67th h;t
kimbo limbo;combo
peru perdu;per
dispersed break up;dispel
dependants de pendents;de-pendents
today's to do's;today
hots lust;sexuality
buggering bugging;budgeting
ablest good;adept
snitched pilfer;burglarize
tampering tinker;meddle
rethinks reevaluate;reexamine
kaori caru;zori
lycanthrope' taking the rap;cross the Rubicon
combats warfare;contest
unfotunately un fortunately;un-fortunately
felicia flitch;flic
individual respective;singular
'disaster disasters;distaste
bartram's barterers;be trays
gong bell;alarm
foerste fester;first
displays exhibit;parade
adas ads;aas
backer benefactor;patron
musician's musician;conductor
smilodon milden;smiled
dotting droplet;fleck
vitalstatistix's vital-statistics;birth statistics
nocholson's socializings;nebulousness
sphinx conundrum;puzzle
blooded 
nungesser ungues;newness
fantasticalâ fantastically;fantastical air
efusiva elusive;evasive
usherette aigrette;sheered
pans sheet;pot
imaginação imagine;imaging
drunken intoxicated;inebriated
valoriza vaporize;vaporizer
louiso's looses;loses
bathory battery;lathery
markoff's marks off;markings
katz klutz;adz
musky piquant;fragrant
passageways access;alley
irising rising;orison
hypnotist warlock;diviner
wangle wriggle;maneuver
intractability stump;provocation
nagai's magis;naiads
kushner kosher;kiner
detonates explode;blast
overs enjoy;crave
coooper copier;co pier
picturesquely 
clennon cannon;cloning
nate's notes;mates
impalings impartings;impedings
hallucinationmy 
prepare's pre-pares;prepared
bassenger messenger;banger
fouquier fumier;doughier
unders below;beneath
vomitorium wood trim;women room
takei taker;takein
unlikelihoods also-ran;long shot
department division;office
maculay maculae;macule
ptu ptv;pit
majesty's majesty;greatness
crowding throng;swamp
'eraserhead' use head;are ahead
pelo polo;pelf
colletti collect;collate
patio courtyard;balcony
cop' co2;cope
jujitsu karate;wrestling
tomache demarche;touche
regulatory administrative;managerial
trunk stalk;stem
phyllis' phyllo;phials
sorkin sickin;soak in
cheshire churchier;chirr
'sphere spheres;oosphere
isn sin;ism
peopleâare people;peopled
marty mart;matey
westlake wast late;went like
celebre celebrate;celebs
âpsycho' go psycho;psych
satterfield butterflied;stirfried
webby nebby;ebb
osterwald most walled;after world
pascualino scullion;scaling
kawamori camera;creamery
forceful vigorous;energetic
'ring wring;reing
jests one-liner;hoax
ocelot puma;panther
releases discharge;clemency
wait's wits;whites
csokas cokes;cassocks
inaccessible remote;unavailable
pride's pride;riders
monster' minster;monsters
stuffing' stiffing;stuff in
fungicide pesticide;defoliant
expeditions quest;trek
looow low;loop
niki nick;ink
wedding' wadding;weeding
teetotal teetotaler;to total
slumping stagnation;crash
contasse contuse;conates
raw's rays;r r s
aspecial special;asocial
antwerp anteed up;entrap
momentarily immediately;briefly
allyway all way;alway
brand's brads;brand
otani obtain;eatin
outshone outperform;transcend
pontoon raft;craft
trahisons treasonous;traducings
trevilian travailing;traveling
cfs cds;cs
crispin cobbler;cordwainer
gimpel impel;gimper
abrasiveness abrasives;aggressiveness
songsters songstress;singer
'clueless' valueless;colorless
bellini' beeline;billing
militaries army;fighting
levinson's living souls;living sin
bening's bendings;bannings
lengthened prolong;elongate
krakowsky crags;crackers
jadoo judo;jader
locarno lock on;location
raids capture;break-in
strobing storing;striving
priorities preference;arrangement
yen desire;urge
confessed disclose;reveal
ungoing ongoing;in going
suite' suiter;site
zannetti's annuities;saunters
united homogeneous;unified
unfaithful cheating;untrue
v8's 13s;25s
clamoring noise;upheaval
leveling flatten;equalize
chiclets chucklest;piglets
stuntman adventurer;madcap
starve quit;renounce
recompiling compelling;crimpling
controversial questionable;contentious
'advisor' adviser;advisors
patrol vigilance;garrison
sour sharp;acid
jenn ken;henna
unfictional un functional;un-functional
example case;pattern
andâbest at best;ones best
barbapapa bebop;barbershop
richmond's right minds;re minds
vacano vacancy;volcano
beforethe breathe;betroth
professionally professionals;provisionally
solutionsâpartial 
jeyaraj garage;crag
psychoanalysts' psycho-analysts;psychoanalyst
roegs reges;roes
scuff disorder;disturb
sharpes shapes;sharps
withâbedlam 
ekdikiton addicting;eradicating
tabun tabbing;tubing
vocals lullaby;number
scooti scooter;scout
saratoge stodge;stogie
nihilo nihility;nil
cleef's cleeks;calves
farady fraud;foreday
shouldering assume;accept
amano am on;amen
shackled tie up;bind
acolyte follower;aid
contradições contradict;contractors
frigidity aloofness;coldness
sahlep shlep;schlep
subsiquent sub sequent;sub-sequent
duello duel;dull
goldmines gold mine;gold-mine
apricots cantaloupe;bittersweet
nono's embargo;restriction
miroslaw more slew;mislay
yonica conic;ionic
hairy furry;shaggy
ripostes maneuver;repartee
nastassja's nasty looks;hast sex
releasingâhiding 
drivvle derivable;trifle
'things thing;tings
lahti laity;lotti
xizhao size;sizz
galling humiliating;provoking
eradicator executioner;savage
palms award;championship
`sees seesaw;suers
chakiris kairos;chokers
talkfest chitchat;parley
mcguckian muckraking;mark cain
bops lick;hit
sexo' sexy;secs
suburbia periphery;environs
alicia alluvia;alopecia
kneecap keep;knap
concluson concluding;conclusive
shoes' shies;shoers
witchfinders arch fiends;arch-fiends
orphanages hut;dormitory
agnew acne;agin
whoosh froth;whisper
histrionics dramatization;performance
atractivos attractive;attractivity
massachussets most chased;researchists
shepard's jeopards;sherpas
noche notch;nosh
partied perform;laud
wack'd waked;wicked
bond2a bonder;bind
sb sob;sub
viola vial;volar
grason grain;grazing
promete primate;pro mote
surpremely supreme;supremacy
plotâexcept 
albergue allergy;allege
challiya chilly;chillies
harmage haymaker;damage
create spawn;organize
swamping mud;marshland
chippamunk chop change;flip-flop
intolerance's in-tolerances;intoleranced
intención intention;indention
theaters's theatres;theater
leadthe lathe;lethe
add count;compute
kunstler kindle;nestle
goofiness stupidity;absurdity
august's augustan;autists
amount load;bulk
ofhis ohohs;of use
aschenbach asking about;grill
sponge parasite;cadger
cappra capper;capers
anouska's aeons agos;ancillas
pokã©mon gammon;pick a bone
dood food;door
mostâââ most aokay;most had
ava avs;aa
sastifyingly 
holivudske 
flunkies gofer;lackey
mendel mended;mantel
wga gar;gay
zamfir zemi;ramify
blabber babble;prattle
sahalin slain;haling
annaud ennead;annual
wachs machs;wacks
'heavies' heaviest;heavers
lifeâwell life riley;life-riley
heroines ace;adventurer
retrospective reflective;contemplative
pickets stanchion;pillar
worlock wedlock;warlike
furinture frontier;fracture
'messiness' mousiness;measliness
'absolute absolutes;obsolete
rationalizing justify;resolve
âfamilyâ evil eye;evil-eye
'decline' de cline;de-cline
bounciness buck;hop
admin damn;am in
yamasaki namesake;mask
bathgate braggart;the gate
switches shift;alteration
wirth's firths;worth
swarming throng;teem
asthetics esthetics;artistic taste
congers confers;congas
jets midnight;dark
intenseness vigor;emotion
generalise generals;generalized
rheumy rummy;rum
timeouts letup;lull
'powers' plowers;power
laguna lagan;lagging
cates cats;cotes
modification conversion;adjustment
admins adonis;addings
robbbins rabbins;ribbons
josse's dosses;fosses
marbled streaked;spotted
incarnations incorporation;epitome
reykjavik wreak havoc;rock jock
getaways lam;flight
ganglanda ganglands;mob
excavate unearth;uncover
vulcanoid volcano;volcanoes
léaud's lads;leaders
trasatti trust;tryst
'mujhse mucosae;mucuses
brianjonestownmassacre 
crawl poke;slither
dobbin dubbing;bobbin
wheelings rotation;involution
louisianna logician;lotion
'splainin' planing;planning
intruments internments;in teguments
wizardry witchcraft;sorcery
lazarus supplicant;down-and-out
howe how;owe
bilal binal;bulla
pony nag;crib
durya dryad;drys
regatta regard;react
ummâold up hold;up-hold
hubiriffic horrific;febrific
charly's charpoys;chalks
barthã©lã©my bethel;at helm
diversos diverse;dicers
guns'n'roses gunny sack races;gains ingress
isrlaei orale;as rule
ramullah lamellae;mammilla
body's bodies;body
outskirt's out skirts;out-skirts
buñuelian bunion;bullion
yobbishness bushings;abashings
ridiculously insanely;extremely
darrin daring;tarring
annapolis antipoles;annuls
stayer stayed;slayer
modify repair;tweak
nomen slot;flag
